영화명,배급사,전국관객수,개봉일
형,씨제이이앤엠(주),2982022,2016-11-23
신비한 동물사전,워너브러더스 코리아(주),4666993,2016-11-16
닥터 스트레인지,월트디즈니컴퍼니코리아(주),5446379,2016-10-26
럭키,(주)쇼박스,6965706,2016-10-13
미스 페레그린과 이상한 아이들의 집,이십세기폭스코리아(주),2718158,2016-09-28
아수라,씨제이이앤엠(주),2594028,2016-09-28
벤허,롯데쇼핑㈜롯데엔터테인먼트,1399771,2016-09-14
밀정,워너브러더스 코리아(주),7487545,2016-09-07
라이트 아웃,워너브러더스 코리아(주),1111158,2016-08-24
스타트렉 비욘드,롯데쇼핑㈜롯데엔터테인먼트,1157472,2016-08-17
터널,(주)쇼박스,7118592,2016-08-10
마이펫의 이중생활,유니버설픽쳐스인터내셔널 코리아(유),2517805,2016-08-03
수어사이드 스쿼드,워너브러더스 코리아(주),1898121,2016-08-03
덕혜옹주,롯데쇼핑㈜롯데엔터테인먼트,5593551,2016-08-03
제이슨 본,유니버설픽쳐스인터내셔널 코리아(유),2611966,2016-07-27
인천상륙작전,씨제이이앤엠(주),7049643,2016-07-27
부산행,(주)넥스트엔터테인먼트월드(NEW),11565078,2016-07-20
나우 유 씨 미 2,롯데쇼핑㈜롯데엔터테인먼트,3100113,2016-07-13
도리를 찾아서,월트디즈니컴퍼니코리아(주),2601734,2016-07-06
봉이 김선달,씨제이이앤엠(주),2044564,2016-07-06
굿바이 싱글,(주)쇼박스,2108273,2016-06-29
인디펜던스 데이 : 리써전스,이십세기폭스코리아(주),1500830,2016-06-22
특별수사: 사형수의 편지,(주)넥스트엔터테인먼트월드(NEW),1225142,2016-06-16
컨저링 2,워너브러더스 코리아(주),1926201,2016-06-09
워크래프트: 전쟁의 서막,유니버설픽쳐스인터내셔널 코리아(유),1163120,2016-06-09
정글북,월트디즈니컴퍼니코리아(주),2532051,2016-06-09
아가씨,씨제이이앤엠(주),4277071,2016-06-01
엑스맨: 아포칼립스,이십세기폭스코리아(주),2938818,2016-05-25
곡성,이십세기폭스코리아(주),6878264,2016-05-12
탐정 홍길동: 사라진 마을,씨제이이앤엠(주),1426873,2016-05-04
캡틴 아메리카: 시빌 워,월트디즈니컴퍼니코리아(주),8677249,2016-04-27
시간이탈자,씨제이이앤엠(주),1202058,2016-04-13
"날, 보러와요",메가박스중앙(주)플러스엠,1061412,2016-04-07
배트맨 대 슈퍼맨: 저스티스의 시작,워너브러더스 코리아(주),2256913,2016-03-24
귀향,(주)와우픽쳐스,3586523,2016-02-24
주토피아,월트디즈니컴퍼니코리아(주),4703245,2016-02-17
동주,메가박스중앙(주)플러스엠,1168427,2016-02-17
데드풀,이십세기폭스코리아(주),3317196,2016-02-17
검사외전,(주)쇼박스,9699092,2016-02-03
쿵푸팬더3,씨제이이앤엠(주),3984812,2016-01-28
오빠생각,(주)넥스트엔터테인먼트월드(NEW),1069436,2016-01-21
레버넌트: 죽음에서 돌아온 자,이십세기폭스코리아(주),2007180,2016-01-14
굿 다이노,월트디즈니컴퍼니코리아(주),1328394,2016-01-07
셜록: 유령신부,메가박스중앙(주)플러스엠,1278894,2016-01-02
내부자들: 디 오리지널,(주)쇼박스,2083999,2015-12-31
몬스터 호텔 2,유니버설픽쳐스인터내셔널 코리아(유),1515104,2015-12-24
스타워즈: 깨어난 포스,월트디즈니컴퍼니코리아(주),3273879,2015-12-17
히말라야,씨제이이앤엠(주),7759473,2015-12-16
대호,(주)넥스트엔터테인먼트월드(NEW),1762742,2015-12-16
내부자들,(주)쇼박스,7071763,2015-11-19
007 스펙터,유니버설픽쳐스인터내셔널 코리아(유),1820842,2015-11-11
검은 사제들,씨제이이앤엠(주),5440945,2015-11-05
그놈이다,CGV아트하우스,1046313,2015-10-28
더 폰,(주)넥스트엔터테인먼트월드(NEW),1593694,2015-10-22
마션,이십세기폭스코리아(주),4875494,2015-10-08
성난 변호사,씨제이이앤엠(주),1124918,2015-10-08
탐정 : 더 비기닝,씨제이이앤엠(주),2625686,2015-09-24
인턴,워너브러더스 코리아(주),3610642,2015-09-24
메이즈 러너: 스코치 트라이얼,이십세기폭스코리아(주),2744413,2015-09-16
사도,(주)쇼박스,6246849,2015-09-16
앤트맨,월트디즈니컴퍼니코리아(주),2839921,2015-09-03
뷰티 인사이드,(주)넥스트엔터테인먼트월드(NEW),2053947,2015-08-20
베테랑,씨제이이앤엠(주),13395400,2015-08-05
